ts,symbol,status,open,high,low,close,upper,lower,is_cross
1771163760,CHFJPY_otc,LIVE,198.991,199.09,198.985,199.08,1,1,1
1771163820,CHFJPY_otc,LIVE,199.08,199.109,198.98,199.026,1,1,1
1771163460,CHFJPY_otc,LIVE,198.671,198.822,198.665,198.764,1,1,1
1771163520,CHFJPY_otc,LIVE,198.764,198.903,198.764,198.87,1,0,0
1771163580,CHFJPY_otc,LIVE,198.87,198.914,198.865,198.878,1,1,1
1771163640,CHFJPY_otc,LIVE,198.878,198.954,198.812,198.904,1,1,1
1771163700,CHFJPY_otc,LIVE,198.907,199.021,198.891,198.991,1,1,1
1771163760,CHFJPY_otc,LIVE,198.991,199.09,198.985,199.08,1,1,1
1771163820,CHFJPY_otc,LIVE,199.08,199.109,198.98,199.026,1,1,1
1771163880,CHFJPY_otc,LIVE,199.026,199.077,198.978,198.998,1,1,1
1771163940,CHFJPY_otc,LIVE,198.99,199.034,198.949,198.989,1,1,1
1771164000,CHFJPY_otc,LIVE,198.989,199.087,198.985,198.985,1,0,0
1771164060,CHFJPY_otc,LIVE,198.985,198.985,198.858,198.879,0,1,0
1771163880,CHFJPY_otc,LIVE,199.026,199.077,198.978,198.998,1,1,1
1771163940,CHFJPY_otc,LIVE,198.99,199.034,198.949,198.989,1,1,1
1771164000,CHFJPY_otc,LIVE,198.989,199.087,198.985,198.985,1,0,0
1771164060,CHFJPY_otc,LIVE,198.985,198.985,198.858,198.879,0,1,0
1771163880,CHFJPY_otc,LIVE,199.026,199.077,198.978,198.998,1,1,1
1771163940,CHFJPY_otc,LIVE,198.99,199.034,198.949,198.989,1,1,1
1771164000,CHFJPY_otc,LIVE,198.989,199.087,198.985,198.985,1,0,0
1771164060,CHFJPY_otc,LIVE,198.985,198.985,198.858,198.879,0,1,0
1771164120,CHFJPY_otc,LIVE,198.879,198.897,198.805,198.826,1,1,1
1771164180,CHFJPY_otc,LIVE,198.838,198.905,198.8,198.898,1,1,1
1771164240,CHFJPY_otc,LIVE,198.916,199.023,198.912,198.989,1,1,1
1771164300,CHFJPY_otc,LIVE,198.989,198.992,198.882,198.939,1,1,1
1771164360,CHFJPY_otc,LIVE,198.939,199.015,198.926,198.97,1,1,1
1771164420,CHFJPY_otc,LIVE,198.981,199.034,198.938,198.938,1,0,0
1771164480,CHFJPY_otc,LIVE,198.938,198.955,198.825,198.825,1,0,0
1771164540,CHFJPY_otc,LIVE,198.825,198.925,198.810,198.814,1,1,1
1771164600,CHFJPY_otc,LIVE,198.805,198.846,198.757,198.830,1,1,1
1771164660,CHFJPY_otc,LIVE,198.827,198.834,198.687,198.765,1,1,1
1771164720,CHFJPY_otc,LIVE,198.768,198.821,198.752,198.781,1,1,1
1771164780,CHFJPY_otc,LIVE,198.768,198.814,198.707,198.800,1,1,1
1771164840,CHFJPY_otc,LIVE,198.789,198.828,198.753,198.806,1,1,1
1771164900,CHFJPY_otc,LIVE,198.810,198.995,198.796,198.995,0,1,0
1771164960,CHFJPY_otc,LIVE,198.991,199.087,198.950,198.958,1,1,1
1771165020,CHFJPY_otc,LIVE,198.951,198.955,198.884,198.923,1,1,1
1771165080,CHFJPY_otc,LIVE,198.911,198.974,198.825,198.925,1,1,1
1771165140,CHFJPY_otc,LIVE,198.930,198.960,198.825,198.834,1,1,1
1771165200,CHFJPY_otc,LIVE,198.834,198.906,198.793,198.803,1,1,1
1771165260,CHFJPY_otc,LIVE,198.803,198.952,198.803,198.896,1,0,0
1771165320,CHFJPY_otc,LIVE,198.892,199.002,198.892,198.940,1,0,0
1771165380,CHFJPY_otc,LIVE,198.947,199.017,198.920,198.991,1,1,1
1771165440,CHFJPY_otc,LIVE,198.991,199.042,198.901,199.034,1,1,1
1771165500,CHFJPY_otc,LIVE,199.034,199.034,198.973,199.024,0,1,0
1771165560,CHFJPY_otc,LIVE,199.021,199.068,199.000,199.057,1,1,1
1771165620,CHFJPY_otc,LIVE,199.057,199.067,198.884,198.899,1,1,1
1771165680,CHFJPY_otc,LIVE,198.899,198.931,198.855,198.927,1,1,1
1771165740,CHFJPY_otc,LIVE,198.927,198.971,198.843,198.865,1,1,1
1771165800,CHFJPY_otc,LIVE,198.865,198.922,198.827,198.845,1,1,1
1771165860,CHFJPY_otc,LIVE,198.854,198.919,198.816,198.828,1,1,1
1771165920,CHFJPY_otc,LIVE,198.820,198.882,198.777,198.777,1,0,0
1771165980,CHFJPY_otc,LIVE,198.763,198.773,198.609,198.616,1,1,1
